Age,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
30,0,Travel_Rarely,Research & Development,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,No,3,1,0,10,3,10,0,8
39,1,Travel_Rarely,Sales,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,2086,No,3,3,1,19,4,1,0,0
24,1,Travel_Rarely,Research & Development,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,Yes,3,1,1,6,2,2,0,0
43,0,Travel_Rarely,Research & Development,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,2645,No,3,4,2,6,2,5,3,4
50,1,Travel_Rarely,Sales,2,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,Yes,3,3,0,3,3,3,2,2
35,0,Travel_Rarely,Sales,3,Marketing,4,Female,3,1,Sales Representative,4,Married,2014,No,3,1,0,2,3,2,2,2
36,0,Travel_Rarely,Research & Development,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,3419,Yes,3,4,1,6,4,1,1,0
33,0,Travel_Frequently,Sales,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,5376,No,3,1,2,10,3,5,3,3
35,0,Travel_Rarely,Research & Development,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,No,3,3,1,1,3,1,0,0
27,0,Travel_Rarely,Research & Development,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,No,3,4,1,1,3,1,0,0
26,1,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,No,3,3,0,1,2,1,0,1
27,0,Travel_Frequently,Sales,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,8726,No,3,4,0,9,3,9,8,7
30,0,Travel_Frequently,Research & Development,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,No,4,4,0,12,3,12,8,7
41,1,Travel_Rarely,Research & Development,3,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,No,3,4,0,23,3,22,15,8
34,0,Non-Travel,Sales,4,Marketing,2,Male,3,2,Sales Executive,3,Single,4568,No,4,3,0,10,3,9,5,7
37,0,Travel_Rarely,Research & Development,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,No,4,1,0,8,3,1,0,0
46,0,Travel_Frequently,Sales,4,Marketing,1,Male,3,2,Sales Executive,4,Single,5772,Yes,4,3,0,14,3,9,6,8
35,0,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,No,3,4,0,1,3,1,0,1
48,1,Travel_Rarely,Research & Development,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,Yes,3,4,0,23,3,1,0,0
28,1,Travel_Rarely,Research & Development,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,Yes,3,3,0,2,2,2,2,2
44,0,Travel_Rarely,Sales,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,Yes,4,3,1,9,2,4,3,3
35,0,Non-Travel,Research & Development,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,Yes,3,3,1,10,3,4,0,3
26,0,Travel_Rarely,Sales,3,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,Yes,3,3,1,5,2,2,2,0
33,0,Travel_Frequently,Research & Development,2,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,Yes,3,3,0,15,3,15,14,12
35,0,Travel_Frequently,Sales,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,9069,No,4,4,1,9,2,9,8,8
35,0,Travel_Rarely,Research & Development,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,Yes,3,3,1,4,3,2,2,2
31,0,Travel_Rarely,Research & Development,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,No,4,4,1,10,2,7,7,7
37,0,Travel_Rarely,Research & Development,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,No,3,3,1,7,4,7,5,7
32,0,Travel_Rarely,Research & Development,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,Yes,4,2,1,9,3,9,8,8
38,0,Travel_Frequently,Research & Development,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,No,3,4,0,10,3,10,3,9
50,0,Travel_Rarely,Research & Development,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,Yes,3,4,1,29,2,27,3,8
59,0,Travel_Rarely,Sales,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7637,No,3,4,0,28,2,21,16,9
36,0,Travel_Rarely,Research & Development,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,No,3,2,3,17,3,17,14,8
55,0,Travel_Rarely,Research & Development,3,Medical,4,Female,3,4,Manager,3,Divorced,14756,Yes,3,3,3,21,3,5,0,2
36,0,Travel_Frequently,Research & Development,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,No,3,3,0,6,3,6,5,3
45,0,Travel_Rarely,Research & Development,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,No,3,3,1,25,3,1,0,0
35,0,Travel_Frequently,Research & Development,3,Medical,2,Male,3,1,Research Scientist,1,Married,2194,No,3,4,1,5,2,3,2,2
36,1,Travel_Rarely,Research & Development,3,Medical,4,Male,2,1,Research Scientist,3,Married,3388,Yes,3,1,1,2,2,1,0,0
59,0,Travel_Frequently,Sales,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,No,3,4,0,20,2,4,3,3
29,0,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,2703,No,4,4,1,6,3,5,4,4
31,0,Travel_Rarely,Research & Development,4,Medical,3,Male,3,1,Research Scientist,2,Single,2501,No,3,2,0,1,3,1,1,0
32,0,Travel_Rarely,Research & Development,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,No,3,2,2,10,3,10,4,9
36,0,Travel_Rarely,Research & Development,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3038,No,3,2,0,5,3,1,0,0
31,0,Travel_Rarely,Research & Development,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,No,4,4,0,11,3,11,7,8
35,0,Travel_Rarely,Sales,4,Marketing,3,Male,2,2,Sales Executive,1,Single,4312,No,3,2,0,16,3,15,13,8
45,0,Travel_Rarely,Research & Development,4,Other,4,Male,3,3,Research Director,1,Married,13245,Yes,3,2,0,17,4,0,0,0
37,0,Travel_Rarely,Research & Development,4,Medical,1,Male,3,3,Research Director,3,Single,13664,No,3,1,0,16,4,5,2,2
46,0,Travel_Rarely,Human Resources,2,Medical,2,Male,3,2,Human Resources,2,Divorced,5021,Yes,4,4,1,16,3,4,2,2
30,0,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,Yes,3,3,2,10,2,10,8,0
35,0,Travel_Rarely,Research & Development,3,Medical,2,Male,2,1,Research Scientist,3,Single,2859,No,3,1,0,6,3,6,4,4
55,0,Travel_Rarely,Sales,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,10239,No,3,4,1,24,3,1,0,0
38,0,Non-Travel,Research & Development,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,Yes,3,4,3,17,3,13,11,9
34,0,Travel_Rarely,Research & Development,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,4325,No,3,3,0,5,3,5,2,3
56,0,Travel_Rarely,Research & Development,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,7260,No,3,1,0,37,2,6,4,2
23,0,Travel_Rarely,Sales,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,No,3,3,1,3,3,0,0,0
51,0,Travel_Rarely,Research & Development,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,2075,No,4,2,2,10,3,4,2,3
30,0,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,No,3,1,3,11,3,11,10,8
46,1,Travel_Rarely,Sales,2,Medical,3,Male,2,3,Sales Executive,4,Single,9619,No,3,4,0,9,3,9,8,7
40,0,Travel_Frequently,Research & Development,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,13503,No,4,4,1,22,2,22,3,11
51,0,Travel_Rarely,Sales,4,Marketing,3,Male,3,2,Sales Executive,4,Single,5441,Yes,4,4,0,11,1,10,7,0
30,0,Travel_Rarely,Sales,2,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,Yes,3,2,3,11,2,11,8,7
46,0,Travel_Frequently,Research & Development,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,10673,Yes,3,3,1,21,2,10,9,5
32,0,Travel_Rarely,Sales,4,Medical,2,Male,3,2,Sales Executive,3,Single,5010,No,3,1,0,12,3,11,8,7
54,0,Travel_Rarely,Research & Development,4,Technical Degree,1,Female,3,3,Research Director,3,Married,13549,No,3,1,1,16,1,4,3,3
24,0,Travel_Rarely,Sales,2,Other,1,Female,3,2,Sales Executive,3,Married,4999,No,4,1,1,4,2,3,2,2
28,0,Non-Travel,Sales,3,Medical,2,Male,3,2,Sales Executive,3,Married,4221,No,3,2,0,5,4,5,4,4
58,0,Travel_Rarely,Sales,4,Medical,4,Male,3,4,Sales Executive,3,Single,13872,No,3,3,0,38,2,37,10,8
44,0,Non-Travel,Research & Development,3,Medical,2,Male,3,2,Laboratory Technician,2,Married,2042,No,3,3,1,17,4,3,2,2
37,1,Travel_Rarely,Human Resources,4,Human Resources,3,Male,3,1,Human Resources,1,Divorced,2073,Yes,4,4,0,7,3,3,2,2
32,0,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,2956,No,3,4,0,1,3,1,0,0
20,1,Travel_Frequently,Research & Development,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,2926,Yes,3,2,0,1,3,1,0,0
34,0,Travel_Rarely,Research & Development,4,Other,1,Female,3,2,Research Scientist,3,Single,4809,No,3,3,0,16,3,16,13,10
37,0,Non-Travel,Research & Development,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,5163,No,3,4,1,17,4,1,0,0
59,0,Non-Travel,Human Resources,4,Human Resources,3,Female,2,5,Manager,4,Married,18844,No,4,4,1,30,3,3,2,2
50,0,Travel_Frequently,Research & Development,3,Life Sciences,1,Female,3,5,Research Director,2,Married,18172,Yes,3,1,0,28,2,8,3,7
25,1,Travel_Rarely,Sales,3,Marketing,3,Male,2,2,Sales Executive,3,Single,5744,Yes,3,4,0,6,3,6,4,3
25,0,Travel_Rarely,Research & Development,1,Medical,4,Male,2,1,Research Scientist,4,Married,2889,No,3,3,2,2,3,2,2,1
22,0,Travel_Rarely,Research & Development,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,2871,No,3,3,0,1,3,0,0,0
51,0,Travel_Frequently,Research & Development,4,Medical,1,Female,2,3,Healthcare Representative,1,Single,7484,No,4,3,0,23,2,13,12,8
34,1,Travel_Frequently,Research & Development,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,6074,Yes,4,4,0,9,3,9,7,6
54,0,Non-Travel,Human Resources,3,Human Resources,4,Female,4,4,Manager,4,Single,17328,Yes,3,3,0,23,3,5,3,4
24,0,Travel_Rarely,Research & Development,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,2774,No,3,3,1,6,3,5,3,2
34,0,Travel_Rarely,Research & Development,4,Life Sciences,3,Female,2,2,Research Scientist,2,Divorced,4505,No,3,3,1,12,3,1,0,0
37,0,Travel_Rarely,Sales,3,Life Sciences,3,Male,3,3,Sales Executive,4,Single,7428,No,3,1,0,12,3,5,3,3
34,0,Travel_Rarely,Research & Development,3,Medical,3,Female,2,3,Manager,1,Single,11631,No,3,4,0,14,3,11,10,8
36,0,Travel_Frequently,Sales,2,Technical Degree,2,Female,3,3,Sales Executive,4,Married,9738,No,3,3,1,10,3,9,7,8
36,0,Travel_Rarely,Research & Development,2,Life Sciences,1,Female,3,1,Laboratory Technician,4,Divorced,2835,No,4,1,1,7,3,1,0,0
43,0,Travel_Frequently,Sales,2,Life Sciences,3,Male,3,4,Manager,4,Married,16959,Yes,3,4,2,25,4,25,12,12
30,0,Travel_Frequently,Research & Development,3,Life Sciences,1,Male,1,1,Research Scientist,3,Divorced,2613,No,4,3,3,10,2,10,7,9
33,0,Non-Travel,Sales,2,Marketing,3,Male,3,2,Sales Executive,2,Married,6146,No,3,1,1,8,4,7,7,7
56,1,Travel_Rarely,Research & Development,4,Life Sciences,2,Female,3,1,Research Scientist,2,Married,4963,Yes,3,1,3,7,3,5,4,3
51,0,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,3,5,Research Director,3,Single,19537,No,3,3,0,23,3,20,18,15
31,1,Travel_Rarely,Sales,4,Life Sciences,2,Male,1,2,Sales Executive,3,Married,6172,Yes,3,2,0,12,2,7,7,7
26,0,Travel_Rarely,Research & Development,3,Other,3,Female,2,1,Research Scientist,2,Married,2368,No,3,3,0,5,2,5,4,3
58,1,Travel_Rarely,Research & Development,4,Medical,4,Female,3,3,Healthcare Representative,4,Married,10312,No,3,4,1,40,2,40,10,6
19,1,Travel_Rarely,Sales,1,Marketing,4,Male,3,1,Sales Representative,3,Single,1675,Yes,3,4,0,0,2,0,0,0
22,0,Travel_Rarely,Research & Development,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,2523,No,3,3,1,3,3,2,1,1
49,0,Travel_Rarely,Research & Development,4,Medical,3,Female,3,2,Manufacturing Director,1,Married,6567,No,3,3,0,16,2,15,11,11
43,0,Travel_Frequently,Research & Development,3,Medical,2,Female,4,1,Research Scientist,3,Single,4739,No,3,4,0,18,3,3,2,2
50,0,Travel_Frequently,Sales,3,Marketing,3,Female,3,3,Sales Executive,4,Single,9208,No,3,4,0,16,3,2,2,1
31,1,Travel_Rarely,Sales,3,Life Sciences,2,Female,1,2,Sales Executive,3,Married,4559,Yes,3,3,1,4,3,2,2,2
41,0,Travel_Rarely,Sales,1,Life Sciences,3,Male,3,3,Sales Executive,3,Divorced,8189,Yes,3,3,1,12,3,9,7,7
26,0,Travel_Rarely,Human Resources,1,Life Sciences,3,Female,3,1,Human Resources,3,Married,2942,No,4,4,1,8,3,8,7,7
36,0,Travel_Rarely,Research & Development,2,Medical,2,Male,3,2,Manufacturing Director,2,Divorced,4941,No,4,4,2,7,3,3,2,1
51,1,Travel_Frequently,Research & Development,4,Life Sciences,1,Male,1,3,Manufacturing Director,4,Single,10650,No,3,4,0,18,3,4,2,3
39,0,Travel_Rarely,Sales,4,Life Sciences,4,Female,2,2,Sales Executive,3,Married,5902,No,3,3,1,17,4,15,11,9
25,0,Travel_Rarely,Sales,3,Life Sciences,1,Male,2,2,Sales Executive,3,Married,8639,No,3,4,0,6,3,2,2,2
30,0,Travel_Rarely,Human Resources,3,Human Resources,3,Male,3,2,Human Resources,4,Married,6347,Yes,3,4,0,12,1,11,9,7
32,1,Travel_Rarely,Research & Development,3,Medical,1,Female,3,1,Laboratory Technician,1,Single,4200,No,4,1,0,10,4,5,4,4
45,0,Travel_Rarely,Research & Development,3,Medical,3,Male,3,1,Research Scientist,4,Single,3452,No,3,2,0,9,2,6,5,3
38,0,Travel_Rarely,Research & Development,5,Technical Degree,4,Female,3,2,Research Scientist,3,Single,4317,Yes,4,2,0,19,3,3,2,2
30,0,Travel_Rarely,Research & Development,3,Life Sciences,1,Female,3,1,Research Scientist,3,Single,2632,No,3,3,0,5,2,5,4,4
32,0,Travel_Frequently,Sales,2,Medical,4,Male,1,2,Sales Executive,4,Divorced,4668,No,3,4,3,9,4,8,7,7
30,0,Travel_Rarely,Research & Development,3,Technical Degree,4,Female,3,1,Research Scientist,1,Divorced,3204,No,3,4,1,8,3,3,2,2
30,0,Travel_Rarely,Research & Development,1,Medical,2,Male,2,1,Laboratory Technician,4,Single,2720,No,3,4,0,6,3,5,3,2
41,0,Travel_Frequently,Research & Development,3,Life Sciences,4,Male,2,4,Manager,1,Divorced,17181,No,3,2,1,21,2,7,6,7
41,0,Travel_Rarely,Research & Development,4,Life Sciences,3,Male,3,1,Laboratory Technician,1,Married,2238,No,4,4,1,7,3,5,0,4
19,0,Travel_Rarely,Research & Development,1,Medical,2,Female,3,1,Laboratory Technician,2,Single,1483,No,3,4,0,1,3,1,0,0
40,0,Travel_Frequently,Research & Development,3,Medical,2,Female,3,2,Research Scientist,2,Divorced,5605,No,3,1,1,20,3,20,7,13
35,0,Travel_Rarely,Sales,5,Marketing,3,Male,3,3,Sales Executive,2,Married,7295,No,3,1,2,10,3,10,8,6
53,0,Travel_Rarely,Sales,2,Marketing,2,Male,3,2,Sales Representative,3,Married,2306,Yes,4,4,1,13,1,7,7,5
45,0,Travel_Rarely,Research & Development,3,Life Sciences,2,Male,3,2,Laboratory Technician,2,Divorced,2348,No,3,3,1,20,1,17,9,15
32,0,Travel_Frequently,Sales,3,Marketing,2,Female,3,3,Sales Executive,4,Single,8998,No,3,4,0,9,3,9,8,7
29,0,Non-Travel,Research & Development,1,Technical Degree,4,Male,3,2,Manufacturing Director,3,Married,4319,No,3,1,1,10,3,10,7,9
51,0,Travel_Rarely,Research & Development,4,Medical,2,Male,2,2,Manufacturing Director,3,Married,6132,No,3,3,0,10,3,1,0,0
58,0,Travel_Rarely,Research & Development,3,Medical,2,Female,2,1,Research Scientist,2,Married,3346,Yes,4,2,1,9,2,1,0,0
40,0,Travel_Rarely,Sales,4,Marketing,3,Male,2,3,Sales Executive,4,Married,10855,No,3,1,1,15,2,12,11,11
34,0,Travel_Frequently,Sales,4,Marketing,3,Female,3,1,Sales Representative,3,Married,2231,No,3,4,1,6,3,4,3,2
22,0,Travel_Rarely,Research & Development,1,Medical,3,Male,3,1,Research Scientist,4,Married,2323,No,4,1,2,2,3,2,2,2
27,0,Non-Travel,Research & Development,3,Medical,4,Male,3,1,Research Scientist,2,Divorced,2024,No,3,4,1,6,1,2,2,2
28,0,Travel_Rarely,Research & Development,3,Medical,3,Male,3,1,Research Scientist,4,Married,2713,No,3,3,1,5,1,5,2,2
57,0,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,4,3,Healthcare Representative,4,Divorced,9439,Yes,3,2,1,12,1,5,3,4
27,0,Non-Travel,Research & Development,3,Medical,3,Male,2,1,Research Scientist,3,Divorced,2566,Yes,3,4,1,1,2,1,1,1
50,0,Travel_Rarely,Research & Development,3,Life Sciences,3,Female,3,5,Manager,2,Single,19926,No,3,2,0,21,3,5,4,4
41,0,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2451,No,3,1,1,13,3,9,8,8
30,0,Travel_Rarely,Sales,3,Life Sciences,2,Female,3,3,Sales Executive,4,Married,9419,No,3,3,1,12,3,10,9,4
38,0,Travel_Rarely,Sales,4,Life Sciences,1,Female,2,2,Sales Executive,4,Single,8686,No,4,3,0,12,4,8,3,7
32,0,Travel_Rarely,Research & Development,5,Life Sciences,3,Male,3,1,Research Scientist,3,Single,3038,No,4,1,0,8,3,5,4,4
27,0,Travel_Rarely,Research & Development,3,Technical Degree,3,Male,3,1,Research Scientist,2,Married,3058,Yes,3,4,1,6,2,5,2,1
19,1,Travel_Frequently,Sales,1,Technical Degree,3,Female,1,1,Sales Representative,1,Single,2325,No,4,1,0,1,4,0,0,0
36,0,Travel_Frequently,Research & Development,2,Medical,4,Male,3,1,Laboratory Technician,2,Single,2088,No,3,3,0,13,2,8,7,2
30,0,Non-Travel,Research & Development,3,Medical,3,Male,3,2,Laboratory Technician,1,Divorced,3072,No,3,3,2,12,3,12,9,10
45,0,Travel_Rarely,Sales,2,Life Sciences,3,Female,3,2,Sales Executive,1,Divorced,5006,Yes,3,1,1,9,4,5,4,3
56,0,Travel_Rarely,Research & Development,3,Life Sciences,3,Female,3,1,Research Scientist,1,Divorced,4257,Yes,3,3,1,19,3,2,2,2
33,0,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,3,1,Research Scientist,4,Single,2500,No,3,1,0,4,4,3,1,2
19,1,Travel_Rarely,Research & Development,3,Life Sciences,2,Male,2,1,Laboratory Technician,4,Single,1102,No,4,3,0,1,2,1,0,0
46,0,Travel_Rarely,Sales,2,Marketing,2,Female,3,3,Sales Executive,1,Divorced,10453,No,4,3,3,24,3,24,13,7
38,0,Travel_Rarely,Research & Development,2,Life Sciences,3,Female,3,1,Laboratory Technician,4,Single,2288,No,3,3,0,2,3,2,2,1
31,0,Travel_Rarely,Research & Development,1,Medical,3,Female,3,1,Research Scientist,4,Married,3929,Yes,4,3,1,7,3,4,2,2
34,0,Travel_Rarely,Research & Development,2,Medical,4,Female,3,1,Research Scientist,2,Single,2311,No,3,4,0,9,3,3,2,2
41,1,Travel_Rarely,Sales,2,Marketing,2,Female,3,1,Sales Representative,2,Single,3140,Yes,4,4,0,4,2,4,3,2
50,0,Travel_Rarely,Research & Development,3,Medical,3,Male,2,1,Laboratory Technician,3,Married,3690,No,3,4,1,5,2,3,2,2
53,0,Travel_Rarely,Research & Development,2,Medical,4,Female,4,2,Manufacturing Director,1,Divorced,4450,No,3,3,2,5,3,4,2,3
33,0,Travel_Rarely,Research & Development,3,Medical,4,Female,3,1,Research Scientist,2,Married,2756,No,3,4,1,8,3,8,7,6
40,0,Travel_Rarely,Research & Development,1,Medical,4,Female,3,5,Manager,3,Married,19033,No,3,2,1,21,3,20,8,9
55,0,Travel_Rarely,Research & Development,4,Medical,3,Male,4,5,Research Director,2,Single,18722,No,3,4,0,36,3,24,15,15
34,0,Travel_Frequently,Research & Development,1,Life Sciences,4,Male,2,2,Manufacturing Director,3,Married,9547,No,3,3,0,10,2,10,9,9
51,0,Travel_Rarely,Research & Development,3,Medical,4,Female,3,4,Healthcare Representative,2,Single,13734,No,3,3,0,21,3,7,7,0
52,0,Travel_Rarely,Research & Development,4,Life Sciences,3,Male,2,5,Manager,3,Married,19999,No,3,1,1,34,3,33,18,9
27,0,Travel_Rarely,Research & Development,3,Medical,4,Female,3,1,Research Scientist,2,Single,2279,No,3,4,0,7,2,7,7,3
35,1,Travel_Rarely,Research & Development,2,Life Sciences,2,Male,2,2,Manufacturing Director,3,Married,5916,Yes,3,1,0,8,3,1,0,1
43,0,Non-Travel,Research & Development,3,Medical,4,Male,4,1,Research Scientist,4,Divorced,2089,No,3,4,3,7,4,5,4,2
45,0,Non-Travel,Research & Development,2,Medical,1,Male,2,4,Manager,4,Married,16792,No,4,4,1,22,3,20,8,8
37,0,Travel_Rarely,Research & Development,3,Life Sciences,2,Male,4,1,Research Scientist,1,Married,3564,Yes,3,1,1,8,2,8,7,7
